date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:16	45900/45900	---M-Z	200	added ('OK')	text/html	etag:%22b34c-6229fd231cb4e-gzip%22	https://industry.dexignzone.com/xhtml/index-14.html	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/index-14.html	(from )
12:55:17	236/236	---M--	302	error ('Found')	text/html	date:Fri,%2001%20Nov%202024%2011:55:19%20GMT	https://industry.dexignzone.com/robots.txt		(from )
12:55:17	3640/3640	---M-Z	200	added ('OK')	image/x-icon	etag:%22e38-6229fdc8b59eb-gzip%22	https://industry.dexignzone.com/xhtml/images/favicon.ico	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/images/favicon.ico	(from https://industry.dexignzone.com/xhtml/index-14.html)
12:55:17	547/547	---M--	200	added ('OK')	image/png	etag:%22223-6229fdb92ff4f%22	https://industry.dexignzone.com/xhtml/images/favicon.png	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/images/favicon.png	(from https://industry.dexignzone.com/xhtml/index-14.html)
12:55:18	1874/1874	---M-Z	200	added ('OK')	text/css	etag:%22752-5d45ef598cf00-gzip%22	https://industry.dexignzone.com/xhtml/css/plugins.css	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/css/plugins.css	(from https://industry.dexignzone.com/xhtml/index-14.html)
12:55:18	241659/241659	---M--	200	added ('OK')	image/png	etag:%223affb-5c68d13c63b00%22	https://industry.dexignzone.com/xhtml/social-image.png	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/social-image.png	(from https://industry.dexignzone.com/xhtml/index-14.html)
12:55:18	552/552	---M-Z	200	added ('OK')	text/css	etag:%22228-5d44d39fcea80-gzip%22	https://industry.dexignzone.com/xhtml/css/skin/skin-2.css	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/css/skin/skin-2.css	(from https://industry.dexignzone.com/xhtml/index-14.html)
12:55:18	308975/308975	---M-Z	200	added ('OK')	text/css	etag:%224b6ef-6229fd88b6af1-gzip%22	https://industry.dexignzone.com/xhtml/css/style.css	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/css/style.css	(from https://industry.dexignzone.com/xhtml/index-14.html)
12:55:18	162695/162695	---M-Z	200	added ('OK')	text/css	etag:%2227b87-6229fd8896750-gzip%22	https://industry.dexignzone.com/xhtml/css/templete.css	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/css/templete.css	(from https://industry.dexignzone.com/xhtml/index-14.html)
12:55:19	174464/174464	---M-Z	200	added ('OK')	text/css	etag:%222a980-59fdd2ae82900-gzip%22	https://industry.dexignzone.com/xhtml/plugins/revolution/revolution/css/revolution.min.css	C:/Users/DESMOND%20DANGYANG%20NGA/Documents/ind/industry.dexignzone.com/xhtml/plugins/revolution/revolution/css/revolution.min.css	(from https://industry.dexignzone.com/xhtml/index-14.html)
